State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4289300,N/A,N/A,3550170,N/A,3491918,N/A,2103324,N/A,2057999,N/A,1467509,N/A,1454972,N/A,2312700,1790900,185700,0,113777,1531744,1904250,399,592120,764528,110861,0,592059,752080,110833,0,1356648,N/A,2057999,N/A,0,1344139,0,2103324,173408,0,125536,0,44880,75871,4785,0,308401,0,0,2100871,0,1467403,0,592098,764456,110849,0,3547622,0,0
Delaware,1194755,122695,155124,911838,93641,887647,115250,518914,53.3,502072,65.2,406452,41.7,401174,52.1,639015,492640,63100,0,39632,368340,503571,295,153246,214000,39067,139,153167,208828,39040,139,367385,53.3,502072,65.2,37.7,362134,47,518914,171774,90.9,148868,78.8,61042,79995,7743,88,321147,170004,632460,518781,61.8,406430,48.4,153243,213987,39061,139,911683,108559,142265
Florida,23273055,108359,134933,18348183,85429,18053928,104674,10341847,48.2,10121640,58.7,8151970,38,8081227,46.9,12165075,9485080,1622900,0,766966,7770243,9776850,34124,3279186,4105759,755953,11072,3278385,4036209,755568,11065,7396017,48.2,10121640,58.7,34.4,7325659,42.5,10341847,3931383,87.4,3332045,74.1,1664479,1502834,156576,8156,7547096,167813,517485,10335425,55.3,8151146,43.6,3278608,4105687,755779,11072,18341031,98101,124481
Federated States of Micronesia,77800,75065,96237,42579,41082,42551,52635,24807,23.9,24781,30.7,19569,18.9,19561,24.2,0,67600,10200,0,1846,40733,0,0,17704,34,1831,0,17700,34,1827,0,17738,23.9,24781,30.7,17.1,17734,21.9,24807,2107,12,1830,10.4,1616,5,209,0,3714,21080,441569,24798,28,19565,22.1,17703,34,1828,0,42569,48096,87901
Georgia,10569965,99553,130276,7376645,69477,7242439,89264,4125559,38.9,4028403,49.7,3277423,30.9,3239952,39.9,5526885,4458680,584400,0,189614,3308612,3877818,601,1438765,1651940,186370,348,1438393,1615086,186133,340,3091053,38.9,4028403,49.7,29.1,3053819,37.6,4125559,1193958,78.7,1025151,67.6,575421,425657,23901,172,2290687,151006,696789,4124128,45.9,3277241,36.5,1438728,1651879,186286,348,7375124,82054,117600
Guam,207370,125097,160380,155296,93683,149668,115753,86948,52.5,83406,64.5,70130,42.3,68043,52.6,122070,74200,11100,0,2591,60250,92455,0,25058,42474,2598,0,25052,40393,2598,0,67532,52.5,83406,64.5,40.7,65445,50.6,86948,14354,50.9,12693,45,5356,7155,182,0,27028,95909,735850,86940,61.4,70129,49.5,25057,42474,2598,0,155287,109695,146487
Hawaii,1801380,127228,161413,1565360,110558,1512569,135534,928196,65.6,884978,79.3,666775,47.1,656472,58.8,1016340,704840,80200,0,31205,559636,880759,93760,237810,379398,31495,18072,237395,369631,31391,18055,635280,65.6,884978,79.3,44.9,625081,56,928196,262716,97.9,218958,81.6,91566,118591,7392,1409,474576,176785,671035,925619,76.4,666615,55,237767,379319,31468,18061,1563329,129082,148738
Iowa,3236145,102570,133272,2797070,88653,2730013,112428,1532096,48.6,1482124,61,1353630,42.9,1337133,55.1,1679145,1375700,181300,0,111034,1231753,1454161,122,585513,659183,108867,67,585411,642841,108814,67,1244763,48.6,1482124,61,39.5,1228319,50.6,1532096,482081,87.2,458114,82.8,245780,202537,9749,48,935853,169246,585247,1532058,57.2,1353619,50.6,585507,659180,108865,67,2797052,104513,120919
Idaho,1588015,88862,118609,1219945,68265,1219818,91108,663076,37.1,662614,49.5,575257,32.2,575165,43,816855,672360,98800,0,39392,536491,643376,686,242632,293115,39304,206,242623,293045,39292,205,535953,37.1,662614,49.5,30,535873,40,663076,228805,78.7,212677,73.2,99441,105102,8050,84,439668,151260,546329,663059,44.3,575246,38.5,242630,293113,39297,206,1219924,81578,106193
Indian Health Svc,1726935,82914,N/A,1356314,65119,1309062,N/A,761917,36.6,730174,N/A,608740,29.2,593286,N/A,738075,914760,74100,0,22280,749554,584480,0,328534,258091,22115,0,328336,242870,22080,0,586625,36.6,730174,N/A,28.2,571206,0,761917,147816,0,122064,0,70463,49244,2357,0,270547,0,0,761640,0,608624,0,328469,258052,22103,0,1355901,0,0
Illinois,13863855,109407,140693,11393564,89913,11033194,111967,6809345,53.7,6528814,66.3,4950277,39.1,4862898,49.3,7471815,5573640,818400,0,380146,4686173,6319951,7294,1946885,2620266,380675,2451,1942828,2538631,379002,2437,4569602,53.7,6528814,66.3,36.1,4483896,45.5,6809345,1786603,87.4,1433981,70.2,663975,711611,56992,1403,3174769,155380,678526,6799147,62.7,4950189,45.7,1946846,2620240,380652,2451,11383258,105033,127921
Indiana,6291460,93453,121827,5001625,74294,4893061,94749,2762357,41,2684098,52,2327442,34.6,2301282,44.6,3379740,2497520,414200,0,166250,2043231,2780311,11833,928398,1231246,163934,3864,928266,1205323,163832,3861,2163508,41,2684098,52,32.1,2137450,41.4,2762357,875771,80.7,825667,76,412253,390803,20342,2269,1711692,157652,579461,2762204,48.4,2327410,40.8,928390,1231236,163920,3864,5001474,87668,110279
Kansas,2934905,100741,132617,2292673,78696,2247760,101568,1346445,46.2,1310405,59.2,1101730,37.8,1088124,49.2,1475565,1291540,167800,0,71473,1034444,1186132,624,477446,552695,71379,210,477322,539268,71325,209,1030351,46.2,1310405,59.2,35.4,1016799,45.9,1346445,428426,90.1,363433,76.4,177097,173249,12970,117,761515,160155,617242,1346347,54.9,1101712,44.9,477439,552689,71374,210,2292567,93509,119709
Kentucky,4261705,95390,123000,3584699,80236,3512251,101369,2038014,45.6,1983464,57.2,1686127,37.7,1668363,48.2,2158065,1848540,255100,0,139162,1599379,1845733,425,717745,831766,136234,382,717644,814172,136166,381,1549893,45.6,1983464,57.2,34.7,1532197,44.2,2038014,626592,83.5,556118,74.1,253740,271915,30231,232,1138470,151682,567800,2037731,53.5,1686095,44.3,717738,831758,136217,382,3583704,94155,111968
Louisiana,3863900,83116,108501,3036128,65310,3000207,84248,1638719,35.3,1613458,45.3,1426743,30.7,1416364,39.8,1950000,1677400,236500,0,104459,1422584,1508039,1046,641895,684474,99852,522,641723,674349,99773,519,1326891,35.3,1613458,45.3,28.5,1316591,37,1638719,566852,76.5,531967,71.8,255238,259494,17125,110,1105710,149214,521429,1638613,41.8,1426713,36.4,641888,684467,99836,522,3036003,77384,98486
Massachusetts,9047540,131266,163322,7795251,113098,7532291,135969,4493781,65.2,4294820,77.5,3528240,51.2,3462873,62.5,4978740,3640300,428500,0,253907,3193028,4348180,136,1373234,1899572,255400,34,1370523,1837767,254551,32,3272840,65.2,4294820,77.5,47.5,3208322,57.9,4493781,1102527,94.3,965194,82.5,439180,466058,59941,15,2007637,171691,773736,4486907,74.6,3528214,58.6,1373228,1899557,255395,34,7788367,129445,150373
Maryland,7727500,127819,164031,5990090,99081,5787902,122859,3408807,56.4,3256108,69.1,2809923,46.5,2761786,58.6,4233060,3066140,428300,0,232281,2439616,3313541,4652,1104438,1478819,225318,1348,1104233,1430997,225215,1341,2584605,56.4,3256108,69.1,42.8,2536571,53.8,3408807,845105,88.1,772975,80.6,377650,349828,45008,489,1562730,162887,805455,3408548,66,2809863,54.4,1104414,1478802,225299,1348,5989853,116018,149674
Maine,1740700,129496,158914,1454127,108177,1412649,128965,838272,62.4,805887,73.6,714892,53.2,705857,64.4,892320,749780,98600,0,93480,629180,731202,265,287617,334602,92600,73,287582,325642,92565,68,622292,62.4,805887,73.6,46.3,613292,56,838272,265755,93.2,249342,87.4,113704,115500,20117,21,493306,172929,610205,838196,70.7,714869,60.3,287614,334599,92583,73,1454044,122711,146902
Marshall Islands,51300,87823,112594,29738,50910,29671,65122,16062,27.5,16014,35.1,13785,23.6,13764,30.2,0,40500,10800,0,138,29600,0,0,13637,6,142,0,13617,5,142,0,13643,27.5,16014,35.1,23.4,13622,29.9,16062,967,9.7,827,8.3,817,0,10,0,1783,17956,516616,16046,32.2,13778,27.6,13630,6,142,0,29715,59568,102839
Michigan,11079590,110942,141269,8489495,85007,8267789,105417,4776710,47.8,4613711,58.8,4088489,40.9,4028174,51.4,5859750,4590740,629100,0,284007,3560915,4643268,1305,1648822,2149961,289116,590,1648461,2090153,288973,587,3799373,47.8,4613711,58.8,38,3739201,47.7,4776710,1456422,82.5,1355499,76.8,679654,620897,54552,396,2731212,154708,627596,4776485,55.6,4088442,47.6,1648803,2149946,289104,589,8489248,98770,128907
Minnesota,6183830,109650,142600,5299096,93962,5124686,118176,3015856,53.5,2888517,66.6,2529780,44.9,2482738,57.3,3371550,2479180,333100,0,231328,2150951,2916496,321,978304,1318101,233275,100,977229,1272400,233011,98,2296505,53.5,2888517,66.6,40.7,2249727,51.9,3015856,826910,89.8,765622,83.2,323319,400383,41892,28,1537277,167026,671876,3010550,63,2529733,52.9,978295,1318081,233257,100,5293700,110791,129421
Missouri,5818955,94811,122071,4609459,75104,4514997,94717,2555436,41.6,2487604,52.2,2074228,33.8,2052224,43.1,3127995,2386560,304400,0,144295,1799095,2665691,378,794476,1134849,144840,63,794286,1113163,144714,61,1929388,41.6,2487604,52.2,31.4,1907510,40,2555436,832007,78.3,733106,69,335378,369233,28467,28,1576050,148399,547905,2555178,48.8,2074201,39.6,794467,1134842,144829,63,4609182,88033,111140
Northern Mariana Islands,72330,127158,163023,47240,83049,45551,102666,25536,44.9,24363,54.9,21969,38.6,21453,48.4,49530,20200,2600,0,251,6570,40419,0,2803,18910,256,0,2803,18394,256,0,21713,44.9,24363,54.9,38.2,21197,47.8,25536,2586,26.7,2431,25.1,383,1996,52,0,4966,51355,747983,25536,52.6,21969,45.2,2803,18910,256,0,47240,97250,148901
Mississippi,2573115,86458,112977,1756467,59018,1739699,76384,1003218,33.7,990862,43.5,800835,26.9,796213,35,1273155,1138760,161200,0,50586,832096,872896,889,370940,380283,49583,29,370830,375811,49543,29,751252,33.7,990862,43.5,25.2,746670,32.8,1003218,363218,74.6,315507,64.8,167495,134774,13228,10,660574,135727,528694,1003150,39.8,800818,31.8,370936,380277,49576,29,1756396,69659,102050
Montana,1074025,100491,127831,854905,79989,837052,99627,477012,44.6,463952,55.2,402458,37.7,397744,47.3,529425,475900,68700,0,29899,395629,429114,263,180623,192540,29218,77,180552,187912,29203,77,373240,44.6,463952,55.2,34.9,368541,43.9,477012,165850,80.3,151035,73.2,73219,71155,6618,43,309781,150061,520268,476946,52,402441,43.9,180610,192539,29215,77,854817,93158,117047
North Carolina,11112490,105953,135727,8036193,76622,7843542,95801,4492551,42.8,4354166,53.2,3724421,35.5,3670278,44.8,5917470,4570220,624800,0,269438,3292550,4473876,329,1453305,2004644,266437,35,1451308,1953474,265461,35,3457984,42.8,4354166,53.2,33,3404817,41.6,4492551,1378173,78.7,1240264,70.8,582547,628414,29278,25,2637349,150612,634603,4488055,49.9,3723814,41.4,1453223,2004135,266421,35,8031100,89378,123671
North Dakota,684070,89766,117560,606692,79612,595381,102318,317453,41.7,310432,53.3,274839,36.1,271568,46.7,344370,304000,35700,0,24983,264417,317292,0,116250,136432,22156,1,116110,133390,22067,1,252683,41.7,310432,53.3,33.2,249501,42.9,317453,98640,82.3,87375,72.9,43295,40940,3140,0,191107,159462,570796,317201,49.8,274830,43.1,116246,136429,22154,1,606408,95161,107348
Nebraska,1972420,101965,135252,1665381,86093,1624475,111393,919086,47.5,889637,61,799625,41.3,787959,54,1074840,792980,104600,0,59871,678391,924167,2952,312387,426210,60173,855,312302,414671,60134,852,739452,47.5,889637,61,38.2,727825,49.9,919086,268673,86,250052,80,121161,123645,4644,602,522298,167158,631259,918906,56.8,799581,49.4,312370,426196,60160,855,1665156,102952,121949
New Hampshire,1686955,124067,152741,1350309,99309,1326125,120070,878686,64.6,858897,77.8,562776,41.4,559796,50.7,876915,698140,111900,0,60895,554886,734488,40,219408,281948,61400,20,219248,279154,61374,20,501376,64.6,858897,77.8,36.9,498422,45.1,878686,252710,99.5,207554,81.8,90257,104292,12991,14,433158,170626,664511,878320,73.3,562640,46.9,219323,281903,61394,20,1349812,112619,140747
New Jersey,10738395,120898,154651,8890965,100099,8639149,124419,5241897,59,5051699,72.8,4226392,47.6,4162562,59.9,5732415,4416780,589200,0,342719,3773963,4773808,475,1688229,2192773,345354,36,1687970,2129354,345207,31,3881038,59,5051699,72.8,43.7,3817355,55,5241897,1321303,89.5,1165867,79,549316,541072,75463,16,2364697,160260,727763,5241356,68.8,4226323,55.5,1688215,2192761,345311,36,8890426,116697,140954
New Mexico,2256915,107635,139231,2106426,100458,2042908,126028,1188995,56.7,1140855,70.4,980700,46.8,961821,59.3,1142895,977720,136300,0,60764,937476,1105361,2825,410936,509270,59675,819,410684,490739,59581,817,921025,56.7,1140855,70.4,43.9,902240,55.7,1188995,339151,89.8,299943,79.4,137446,147120,14896,481,620511,164328,597690,1188871,66.5,980668,54.9,410922,509259,59668,819,2106290,117839,126266
Nevada,2824590,91703,118307,2452084,79609,2404824,100725,1374266,44.6,1340718,56.2,1105303,35.9,1093393,45.8,1494090,1154900,175600,0,99453,1015510,1337121,0,446594,561022,97681,6,446534,549201,97652,6,1007622,44.6,1340718,56.2,32.7,995741,41.7,1374266,394018,79.4,345690,69.7,166094,161354,18238,4,740705,149344,569506,1374226,52.4,1105296,42.2,446591,561020,97679,6,2452050,93525,107735
New York State,22323405,114752,144720,19137319,98374,18680168,121101,10619570,54.6,10280348,66.6,8875904,45.6,8755866,56.8,11864385,9250720,1208300,0,794578,7966649,10372107,3985,3542764,4582255,750066,819,3542010,4463399,749656,801,8125838,54.6,10280348,66.6,41.8,8006210,51.9,10619570,2728786,82.8,2441047,74.1,1178691,1120372,141546,438,5090822,154448,677258,10618556,63.3,8875573,52.9,3542648,4582149,749971,805,19136091,114087,133090
Ohio,11802315,100969,129538,9725302,83200,9492456,104186,5269020,45.1,5104129,56,4609960,39.4,4544870,49.9,6216015,4950300,636000,0,375579,4096621,5242984,10118,1858116,2386352,362434,3058,1857884,2321642,362303,3041,4247526,45.1,5104129,56,36.3,4182567,45.9,5269020,1672922,81.8,1567190,76.6,716972,778304,70206,1708,3231349,157910,576758,5268846,52.7,4609927,46.1,1858107,2386341,362421,3058,9725130,97244,118015
Oklahoma,3895855,98455,129657,2923924,73893,2874485,95665,1626968,41.1,1593099,53,1317181,33.3,1302353,43.3,1983735,1695320,216800,0,82908,1365220,1475749,47,596550,638894,81712,25,596389,624271,81668,25,1235469,41.1,1593099,53,31.2,1220685,40.6,1626968,517431,81.5,442952,69.7,234064,194320,14560,8,955967,150515,613393,1626838,48.9,1317151,39.6,596537,638885,81704,25,2923770,87927,117161
Oregon,5152745,122168,153759,3935023,93297,3813390,113793,2261605,53.6,2166758,64.7,1824408,43.3,1796677,53.6,2672085,2182960,297700,0,138558,1613319,2181017,2129,719923,966344,137739,402,718433,940596,137253,395,1686669,53.6,2166758,64.7,40,1659424,49.5,2261605,641780,83.8,591471,77.2,269481,282486,39300,204,1187645,155029,672612,2257812,61.9,1824398,50,719921,966337,137738,402,3931186,107770,141257
Pennsylvania,14791175,115538,145477,12290530,96005,12014925,118171,7331331,57.3,7115395,70,5417937,42.3,5358667,52.7,7503795,6258980,1028400,0,457130,5220947,6612128,325,2169991,2785988,461701,257,2169080,2727868,461470,249,4956236,57.3,7115395,70,38.7,4897197,48.2,7331331,2339281,97.7,1838387,76.8,867336,907102,63810,139,4133097,172690,618008,7329836,66.1,5417563,48.9,2169881,2785761,461664,257,12288700,110894,133476
Puerto Rico,3830570,119942,146151,2599775,81403,2530641,96554,1573370,49.3,1517924,57.9,1128402,35.3,1113054,42.5,1974570,1665700,190300,0,80129,1070220,1449135,291,428449,619625,80307,21,428340,604486,80207,21,1048095,49.3,1517924,57.9,32.8,1032847,39.4,1573370,434045,79.9,357206,65.8,166407,177472,13324,3,774480,142649,705539,1572834,57.7,1128313,41.4,428434,619585,80273,21,2599183,95301,140450
Rhode Island,1444145,136322,168932,1134400,107083,1100311,128712,633106,59.8,607503,71.1,531736,50.2,523910,61.3,800865,581980,61300,0,42796,462095,629472,37,209605,279409,42712,10,209576,271629,42695,10,489024,59.8,607503,71.1,46.2,481215,56.3,633106,174891,93.5,163093,87.2,74907,82789,5393,4,334096,178617,772080,633045,68.3,531729,57.3,209601,279407,42711,10,1134338,122302,155704
Republic of Palau,24600,137376,176129,23549,131507,23549,168605,13166,73.5,13165,94.3,11965,66.8,11965,85.7,0,20800,3800,0,1397,22151,1,0,10549,20,1396,0,10549,20,1396,0,10569,73.5,13165,94.3,59,10569,75.7,13166,1627,53.4,1577,51.8,1411,8,158,0,3004,98686,808147,13166,86.1,11965,78.2,10549,20,1396,0,23549,153996,160868
South Carolina,4999715,97106,123831,3705827,71976,3642103,90206,2072695,40.3,2027053,50.2,1700920,33,1682379,41.7,2577315,2116300,306100,0,122961,1515124,2066681,1061,651918,928603,120189,210,650931,911360,119878,210,1580731,40.3,2027053,50.2,30.7,1562501,38.7,2072695,769393,82.1,668523,71.3,281898,364944,21536,145,1420243,151570,533574,2070370,46.8,1700427,38.5,651848,928206,120163,210,3703014,83779,113116
South Dakota,933675,105541,139864,768274,86844,752653,112747,421938,47.7,410762,61.5,371636,42,367153,55,455715,420260,57700,0,22180,347324,398757,13,164694,184523,22407,12,164656,180087,22398,12,349229,47.7,410762,61.5,39.5,344755,51.6,421938,136948,90.2,127421,83.9,65938,58226,3251,6,257570,169598,614782,421920,57.2,371633,50.3,164693,184521,22407,12,768254,104085,126497
Tennessee,5979940,87565,112423,4771823,69874,4694707,88261,2638834,38.6,2582682,48.6,2130107,31.2,2110139,39.7,3126240,2493100,360600,0,135758,2011847,2615859,8359,871905,1123459,132277,2466,871674,1103865,132140,2460,1997830,38.6,2582682,48.6,29.3,1977999,37.2,2638834,874672,76.5,766481,67,388096,352898,23930,1557,1670001,146057,523000,2638403,45.2,2130024,36.5,871891,1123424,132243,2466,4771318,81763,102474
Texas,29891635,103089,138412,22486269,77550,21862161,101232,12570927,43.4,12122145,56.1,10033635,34.6,9748888,45.1,15916875,12136260,1838500,0,833810,9583243,12068386,830,4140179,5077185,815615,656,4022683,4933098,792468,637,9220862,43.4,12122145,56.1,31.8,9068718,42,12570927,2990624,80.1,2578645,69.1,1064026,1304837,209613,169,5662390,151635,800477,12567156,52.1,10031629,41.6,4139351,5076170,815452,656,22481842,93281,124026
Utah,3059860,95443,134513,2561890,79910,2464857,108356,1439613,44.9,1370604,60.3,1026085,32,999117,43.9,1581840,1312920,165100,0,107891,1090954,1363045,0,409579,512462,104043,1,409408,485914,103794,1,922042,44.9,1370604,60.3,28.8,895323,39.4,1439613,315024,86.1,217189,59.4,95430,109527,12232,0,592528,161950,836320,1439299,55.5,1026007,39.6,409562,512428,104016,1,2561500,98814,118038
